accommodates,bathrooms,bedrooms,beds,price,latitude,longitude,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,property_type,room_type,amenities,neighbourhood_cleansed,city,state,zipcode,market,has_availability,calendar_updated,last_scraped
6,1,2,4,200,30.31381898,-97.7395985,2,1125,0,0,0,189,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",78756,Austin,TX,78756,Austin,t,5 days ago,11/8/15
2,2,2,2,100,30.31947807,-97.7413021,1,1125,0,0,0,0,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,3 months ago,11/8/15
6,1.5,3,4,225,30.32958872,-97.74404151,2,365,8,38,68,343,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",78756,Austin,TX,78756,Austin,t,yesterday,11/8/15
4,1,1,2,85,30.32724993,-97.73823634,2,1125,10,23,29,296,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,5 weeks ago,11/8/15
4,1,1,2,175,30.31082442,-97.7479856,2,1125,0,13,43,318,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,5 weeks ago,11/8/15
3,1,1,1,95,30.30796323,-97.74673688,1,1125,15,45,75,350,Apartment,Entire home/apt,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,4 weeks ago,11/8/15
4,1,0,2,135,30.31081943,-97.74219236,2,1125,29,44,74,349,Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,a week ago,11/8/15
2,1,1,1,55,30.31932344,-97.74585025,2,28,0,20,41,310,House,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets Allowed"",Breakfast,Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,4 weeks ago,11/8/15
4,1,2,2,250,30.32520917,-97.73860364,1,1125,0,0,0,0,Apartment,Entire home/apt,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,Heating}",78756,Austin,TX,78756,Austin,t,never,11/8/15
2,1,1,1,75,30.32396584,-97.73581849,1,1125,30,60,90,365,Apartment,Shared room,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer}",78756,Austin,TX,78756,Austin,t,20 months ago,11/8/15
4,1,1,2,185,30.31176059,-97.74469967,2,1125,6,36,66,341,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,yesterday,11/8/15
5,2,3,3,199,30.32114127,-97.74304961,1,1125,6,20,24,243,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Shampoo}",78756,Austin,TX,78756,Austin,t,2 months ago,11/7/15
